ID	Average_NO	Average_YES	Median_NO	Median_YES	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4770	8.69519764203486	9.22104403770398	6.76075219893356	6.42125050373828	0.0892793748999428	0.784908696572518	NA	NO_vs_YES	NA
hsa-miR-4770-5p:Novel	2.75927409148055	2.35706476570292	1.19396907223928	1.316565098723	-0.818974962248414	0.101495098165986	NA	NO_vs_YES	NA
hsa-miR-4771	4.65070557320454	3.93500440502064	3.16385500600325	2.98152070623097	-0.274815062715689	0.505914153115405	NA	NO_vs_YES	NA
hsa-miR-4771-5p:Novel	17.0895969573774	36.1853797975382	10.4698033366917	12.7238357295845	-1.0194984364702	0.0317894732759924	0.197698038183544	NO_vs_YES	FALSE
hsa-miR-4772-3p	0.706223631346312	0.250027487413489	0	0	0.292996221607394	0.706350884109695	NA	NO_vs_YES	NA
hsa-miR-4772-5p	0.647680073104238	0.482879980215581	0.148935293188078	0	-0.0378996370517099	0.95358928248302	NA	NO_vs_YES	NA
hsa-miR-4773	2.30284321420982	3.09328480860175	2.10210506817511	2.05621702124126	-0.56605069317919	0.0990846042464468	NA	NO_vs_YES	NA
hsa-miR-4773-5p:Novel	1.81765680407595	2.24527375570058	1.24109121068626	1.66875150804916	-0.483753166347732	0.18545897491476	NA	NO_vs_YES	NA
hsa-miR-4774-3p	0.574830183633042	1.18114654245798	0	0	-1.04801365575101	0.105962054790711	NA	NO_vs_YES	NA
hsa-miR-4774-5p	4.78069064124591	6.73681950090401	1.27606992603378	1.72415035714895	-0.108287884993513	0.854162470007288	NA	NO_vs_YES	NA
hsa-miR-4775	0.651876085533644	0.421863022385511	0	0	-1.86343750565331	0.0652201573050979	NA	NO_vs_YES	NA
hsa-miR-4775-3p:Novel	0.666962445193415	0.774368908388609	0	0	-1.43939586133868	0.0627957902500735	NA	NO_vs_YES	NA
hsa-miR-4776-3p	2.81248468525933	2.45238779283793	1.74496722278196	1.52634023045704	-0.385985610130628	0.321328427072284	NA	NO_vs_YES	NA
hsa-miR-4776-5p	1.53421872822891	1.32581282982702	0.606611377662687	0.44320493911809	-0.946673125569883	0.100644252667393	NA	NO_vs_YES	NA
hsa-miR-4777-3p	0.542729098013606	0.629182578558398	0	0	-1.0533051942186	0.331538617142044	NA	NO_vs_YES	NA
hsa-miR-4777-5p	0.204633330459128	0.238258960917278	0	0	-0.803119498998033	0.51986960022808	NA	NO_vs_YES	NA
hsa-miR-4778-3p	0.680283137946894	0.907049189209251	0	0	-1.20544582910914	0.10336919695546	NA	NO_vs_YES	NA
hsa-miR-4778-5p	7.4971802504736	7.75331417943013	5.21641544123181	5.68729550888701	-0.664446258033367	0.0546467840104192	NA	NO_vs_YES	NA
hsa-miR-4779	1.97243923789341	1.98161796623141	1.48935293188078	1.28600168776425	0.102695161764914	0.795102206554732	NA	NO_vs_YES	NA
